,,Name,SKU,Category,Brand,Unit,Cost Price,Sale Price,Min Stock Level,Current Stock,Description
,,Shower Mixar,1086 C+(1''),Metal,Suzon,pcs,,0.0,5,0,
,,Shower Mixar,1087 B+(3/4''),Metal,Suzon,pcs,,0.0,5,0,
,,Shower Mixar,1087 C+(1''),Metal,Suzon,pcs,,0.0,5,0,
,,Shower Mixar,1088 B+(3/4''),Metal,Suzon,pcs,,0.0,5,0,
,,Shower Mixar,1088 C+(1''),Metal,Suzon,pcs,,0.0,5,0,
,,Shower Mixar,1089 B+(3/4''),Metal,Suzon,pcs,,0.0,5,0,
,,Shower Mixar,1089 C+(1''),Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Stop Cock,1015 A,Metal,Suzon,pcs,1275,1700.0,5,42,
,,Conceal Stop Cock,1015 B,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Stop Cock,1015 D,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Stop Cock,1015 U,Metal,Suzon,pcs,,0.0,5,0,
,,Twin Angle Stop Cock,1091 A,Metal,Suzon,pcs,1012.5,1350.0,5,10,
,,Twin Angle Stop Cock,1091 B,Metal,Suzon,pcs,,0.0,5,0,
,,Twin Angle Stop Cock,1091 D,Metal,Suzon,pcs,,0.0,5,0,
,,Twin Angle Stop Cock,1091 U,Metal,Suzon,pcs,,0.0,5,0,
,,Soap Dispensor,1092 Off/White,Metal,Suzon,pcs,,0.0,5,0,
,,Soap Dispensor,1092 White,Metal,Suzon,pcs,,0.0,5,0,
,,Toylet P.Shower,1048 SR4 Off/White,Metal,Suzon,pcs,742.5,990.0,5,2,
,,Toylet P.Shower,1048 White,Metal,Suzon,pcs,,0.0,5,0,
,,Glass Self 22'',1059 C,Metal,Suzon,pcs,,0.0,5,0,
,,Glass Self 18'',1059 D,Metal,Suzon,pcs,,0.0,5,0,
,,Shower Arm 12'' (Square),1057 P1,Metal,Suzon,pcs,750,1000.0,5,2,
,,Shower Arm (Square),1057 P2,Metal,Suzon,pcs,,0.0,5,0,
,,Besin Push Waste 6'' Long,1045 B,Metal,Suzon,pcs,1125,1500.0,5,5,
,,Besin Push Waste 8'' Long,1045 C,Metal,Suzon,pcs,1200,1600.0,5,8,
,,Floor Drain 5''(Square Box),1032 E,Metal,Suzon,pcs,787.5,1050.0,5,14,
,,Conceal Push Shower Mixar 3/4'',2001 P,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Push Shower Mixar 3/4'',2001 P1,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Push Shower Mixar 3/4'',2001 P2,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Push Shower Mixar 3/4'',2001 P3,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Push Shower Mixar 3/4'',2002 P,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Push Shower Mixar 3/4'',2002 P1,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Push Shower Mixar 3/4'',2002 P2,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Push Shower Mixar 3/4'',2002 P3,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Stop Cock 1/2'',1014 A,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Stop Cock 3/4'',1013 A,Metal,Suzon,pcs,1425,1900.0,5,21,
,,Conceal Stop Cock 1'',1040 A,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Bib Cock,1005A,Metal,Suzon,pcs,1237.5,1650.0,5,31,
,,Conceal Bib Cock,1005 A+,Metal,Suzon,pcs,,0.0,5,0,
,,Angle Stop Cock,1012 A,Metal,Suzon,pcs,,0.0,5,0,
,,Angle Stop Cock,1012 A+,Metal,Suzon,pcs,862.5,1150.0,5,66,
,,Pillar Cock,1008 A+,Metal,Suzon,pcs,,0.0,5,0,
,,Pillar Cock Heavy,1008 A,Metal,Suzon,pcs,1387.5,1850.0,5,19,
,,Pillar Cock Special,1007 A,Metal,Suzon,pcs,,0.0,5,0,
,,Sink Bib Cock,1006 A,Metal,Suzon,pcs,1462.5,1950.0,5,3,
,,Moving Pillar Cock,1009 A,Metal,Suzon,pcs,1800,2399.9,5,3,
,,Moving Pillar Cock Special,1010 A,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Pillar Cock Round,1010 A1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Pillar Cock Supar,1039 A,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock L/R,1011 A,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock L/R,1011 A1,Metal,Suzon,pcs,,0.0,5,0,
